sex	isced11	unit	age	geo\time	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
T	ED0-2	PC	Y25-34	PL	6.5 	6.4 b	6.0 	5.6 	5.8 	5.8 b	6.1 	5.8 	5.5 	5.6 	6.0 	6.2 
T	ED0-2	PC	Y25-34	PT	51.6 	47.5 	44.0 b	41.5 	38.6 	35.3 b	33.3 	30.5 	30.4 	28.5 	24.8 	21.0 
T	ED0-2	PC	Y25-34	RO	23.2 	23.9 b	23.9 	23.2 	22.8 	24.5 b	23.8 	23.6 	23.5 	23.0 	22.0 	20.7 
T	ED0-2	PC	Y25-34	RS	: 	13.9 	15.0 	13.8 	14.7 	12.6 b	10.7 	11.0 	11.3 	10.4 	10.6 	10.5 
T	ED0-2	PC	Y25-34	SE	12.3 	12.6 	13.0 	13.1 	12.8 	12.7 b	12.1 	11.5 	11.9 	12.3 b	11.4 	11.2 
T	ED0-2	PC	Y25-34	SI	6.5 	6.5 	6.0 	5.8 	5.5 	6.1 b	5.9 	5.9 	5.6 	5.7 	4.9 	4.4 
T	ED0-2	PC	Y25-34	SK	5.2 	5.9 	6.0 b	5.9 	5.9 	7.4 b	7.0 	6.6 	8.7 	8.1 	9.1 	7.3 
T	ED0-2	PC	Y25-34	TR	60.2 	59.5 	58.4 	56.1 	54.4 	52.6 b	49.8 	47.2 	46.4 	44.8 	43.0 	41.0 
T	ED0-2	PC	Y25-34	UK	18.2 	16.6 b	17.3 b	15.9 	16.1 	15.0 b	14.7 	15.2 	14.6 	14.5 	13.9 	: 
T	ED0-2	PC	Y25-64	AT	18.4 	17.6 	17.6 	17.1 	17.0 	16.1 b	15.4 	15.5 	15.0 	14.7 	14.4 	14.3 
T	ED0-2	PC	Y25-64	BE	29.4 	29.5 	28.7 	28.4 	27.2 	26.4 b	25.3 	24.9 	23.2 b	21.8 	21.3 	20.2 
T	ED0-2	PC	Y25-64	BG	22.1 	20.9 b	20.0 b	19.0 	18.2 	18.9 b	18.1 	17.7 	17.2 	17.4 	17.5 	16.9 
T	ED0-2	PC	Y25-64	CH	13.1 	15.0 b	15.2 	14.3 	13.6 	12.8 b	12.7 	12.6 	12.2 	11.6 	11.0 	10.7 
T	ED0-2	PC	Y25-64	CY	27.7 b	26.0 	24.8 	22.6 	21.5 	22.4 b	22.1 	20.5 	18.9 	17.8 	17.5 	16.8 
T	ED0-2	PC	Y25-64	CZ	8.6 	8.1 	7.7 b	7.5 	7.2 	6.8 b	6.8 	6.6 	6.2 	6.1 	6.2 	5.9 
T	ED0-2	PC	Y25-64	DE	14.5 	13.9 b	13.4 	13.4 	13.3 	13.1 b	13.2 	13.5 	13.5 	13.4 	13.4 	14.3 bp
T	ED0-2	PC	Y25-64	DK	25.5 	24.7 	23.3 	22.4 	22.1 	21.1 b	20.3 	19.7 b	19.0 b	18.9 	18.4 	18.5 
T	ED0-2	PC	Y25-64	EA19	31.9 	31.2 	30.4 	29.6 	28.5 	27.4 b	26.8 	26.3 	25.8 	25.1 	24.4 	23.7 
T	ED0-2	PC	Y25-64	EE	11.2 	10.7 	10.9 	10.0 	9.4 	11.8 b	11.3 	10.9 	11.2 	10.8 	9.8 	9.3 
T	ED0-2	PC	Y25-64	EL	38.5 b	37.3 	35.4 	34.2 	32.8 	31.6 b	29.6 	28.2 	27.1 	26.4 	23.2 	21.2 
T	ED0-2	PC	Y25-64	ES	48.4 	47.1 	46.0 	45.3 	44.5 	43.4 b	42.6 	41.7 	40.9 	39.9 	38.7 	37.1 
T	ED0-2	PC	Y25-64	EU27_2020	28.4 	27.8 	27.0 	26.3 	25.3 	24.5 b	23.9 	23.4 	22.8 	22.2 	21.6 	21.0 
T	ED0-2	PC	Y25-64	EU28	28.0 	27.3 	26.6 	25.8 	24.8 	24.1 b	23.5 	23.0 	22.5 	21.9 	21.3 	: 
T	ED0-2	PC	Y25-64	FI	18.0 	17.0 	16.3 	15.2 	14.1 	13.5 b	12.3 	11.9 	11.7 	10.8 	9.9 	8.9 
T	ED0-2	PC	Y25-64	FR	29.9 	29.3 	28.5 	27.6 	25.0 b	23.3 b	22.4 	21.9 	21.6 	20.6 	19.5 	18.5 
T	ED0-2	PC	Y25-64	HR	22.5 	22.7 b	21.8 	19.5 	18.7 	17.3 b	16.9 	17.3 	16.2 	14.9 	14.2 	13.4 
T	ED0-2	PC	Y25-64	HU	19.5 	18.8 	18.5 	18.0 	17.5 	16.9 b	16.8 	16.6 	16.0 	15.1 	15.0 	14.4 
T	ED0-2	PC	Y25-64	IE	28.5 	26.9 	26.1 	25.1 	22.9 	19.7 b	18.9 	18.6 	17.5 b	16.8 	16.3 	14.5 
T	ED0-2	PC	Y25-64	IS	34.1 	33.5 	29.3 	29.0 	27.8 	26.4 b	25.0 	21.8 	22.7 	22.0 	21.4 	21.8 b
T	ED0-2	PC	Y25-64	IT	45.8 	44.9 	44.0 	42.8 	41.8 	40.7 b	40.1 	39.9 	39.1 	38.3 	37.8 	37.1 
T	ED0-2	PC	Y25-64	LT	8.8 	8.1 	7.1 	6.7 	6.6 	6.7 b	6.5 	5.4 	5.2 	5.2 	5.0 	4.6 
T	ED0-2	PC	Y25-64	LU	22.7 b	22.3 	22.7 	21.7 	19.5 	18.0 b	24.0 b	21.6 u	23.6 u	21.4 	20.7 	21.5 
T	ED0-2	PC	Y25-64	LV	13.2 	11.4 	12.1 	10.9 	10.6 	10.5 b	9.9 	9.3 	9.6 	9.3 	8.8 	8.3 
T	ED0-2	PC	Y25-64	ME	: 	: 	17.5 	16.4 	15.4 	14.4 b	14.1 	14.5 	13.9 	13.2 	12.2 	12.4 
T	ED0-2	PC	Y25-64	MK	38.8 	37.5 	36.3 	35.1 	34.4 	34.3 b	33.6 	31.6 	30.4 	29.8 	28.4 	27.4 
T	ED0-2	PC	Y25-64	MT	69.2 	67.2 	64.2 b	61.5 	58.5 	55.4 b	53.2 	50.6 	48.0 	45.0 	42.2 	40.7 
T	ED0-2	PC	Y25-64	NL	28.4 	27.6 	27.5 b	26.6 	24.2 b	24.1 b	23.6 	22.9 	21.6 	21.0 	20.4 b	19.0 
T	ED0-2	PC	Y25-64	NO	19.5 	19.1 	18.7 	17.9 	17.6 	17.3 b	17.3 	17.7 	17.8 	17.0 	16.8 	16.6 
T	ED0-2	PC	Y25-64	PL	12.0 	11.5 b	11.1 	10.4 	9.9 	9.5 b	9.2 	8.7 	7.9 	7.6 	7.4 	6.8 
T	ED0-2	PC	Y25-64	PT	70.3 	68.3 	65.4 b	62.7 	60.2 	56.7 b	54.9 	53.1 	52.0 	50.2 	47.8 	44.6 
T	ED0-2	PC	Y25-64	RO	25.3 	26.1 b	25.5 	24.6 	24.3 	27.2 b	25.0 	23.3 	22.1 	21.5 	21.0 	19.6 
T	ED0-2	PC	Y25-64	RS	: 	25.6 	25.4 	24.2 	23.7 	21.2 b	20.3 	20.2 	20.0 	19.1 	18.5 	17.7 
T	ED0-2	PC	Y25-64	SE	19.3 	18.8 	18.4 	17.6 	16.8 	16.3 b	15.7 	15.0 	14.7 	14.4 b	13.9 	13.5 
T	ED0-2	PC	Y25-64	SI	16.7 	16.7 	15.5 	15.0 	14.5 	14.3 b	13.2 	12.7 	12.1 	11.9 	11.2 	9.8 
T	ED0-2	PC	Y25-64	SK	9.1 	9.0 	8.7 b	8.3 	8.1 	9.0 b	8.6 	8.1 	8.6 	8.3 	8.6 	7.3 
T	ED0-2	PC	Y25-64	TR	71.8 	71.6 	70.8 	69.1 	68.1 	67.4 b	65.8 	64.4 	63.6 	62.6 	61.1 	59.3 
T	ED0-2	PC	Y25-64	UK	25.5 	23.9 b	23.6 b	22.1 	21.7 	20.8 b	20.3 	20.5 	19.9 	19.6 	18.9 	: 
T	ED0-2	PC	Y35-44	AT	15.1 	14.3 	14.0 	13.9 	14.0 	13.9 b	12.9 	12.8 	12.3 	12.3 	12.2 	12.2 
T	ED0-2	PC	Y35-44	BE	22.3 	21.6 	21.0 	21.2 	19.8 	19.6 b	18.6 	18.5 	17.0 b	17.0 	16.3 	15.5 
T	ED0-2	PC	Y35-44	BG	18.4 	17.3 b	16.8 b	16.5 	15.5 	16.0 b	16.4 	17.0 	16.6 	17.3 	17.6 	15.7 
T	ED0-2	PC	Y35-44	CH	11.6 	13.5 b	13.4 	13.1 	12.5 	12.1 b	12.3 	11.6 	11.4 	10.7 	10.7 	10.7 
T	ED0-2	PC	Y35-44	CY	18.3 b	18.0 	17.3 	15.7 	15.2 	17.2 b	18.3 	16.7 	14.7 	13.5 	15.1 	15.0 
T	ED0-2	PC	Y35-44	CZ	5.6 	4.9 	4.5 b	4.6 	4.6 	4.1 b	4.2 	4.6 	4.4 	5.1 	5.1 	4.8 
T	ED0-2	PC	Y35-44	DE	13.2 	12.8 b	12.6 	12.8 	13.1 	13.0 b	13.6 	14.2 	14.3 	14.2 	13.7 	14.3 bp
T	ED0-2	PC	Y35-44	DK	20.3 	19.4 	18.5 	18.0 	17.8 	16.8 b	16.0 	15.6 b	15.0 b	15.5 	15.3 	16.1 
T	ED0-2	PC	Y35-44	EA19	28.0 	27.3 	26.6 	25.7 	24.7 	23.5 b	22.9 	22.6 	22.1 	21.5 	20.7 	20.2 
T	ED0-2	PC	Y35-44	EE	7.5 	9.0 	10.4 	9.4 	9.7 	13.4 b	13.4 	13.0 	12.9 	12.6 	11.9 	10.5 
T	ED0-2	PC	Y35-44	EL	30.7 b	29.8 	28.8 	27.6 	25.7 	24.9 b	23.0 	21.8 	20.5 	19.8 	17.6 	15.8 
T	ED0-2	PC	Y35-44	ES	42.2 	40.4 	38.9 	37.8 	36.6 	34.6 b	33.9 	33.0 	32.8 	32.3 	32.2 	30.9 
T	ED0-2	PC	Y35-44	EU27_2020	24.5 	24.0 	23.3 	22.5 	21.7 	20.8 b	20.2 	19.9 	19.4 	18.9 	18.3 	17.7 
T	ED0-2	PC	Y35-44	EU28	24.5 	23.8 	23.1 	22.2 	21.3 	20.5 b	19.9 	19.5 	19.0 	18.4 	17.8 	: 
T	ED0-2	PC	Y35-44	FI	11.6 	11.0 	10.7 	10.3 	9.9 	9.7 b	8.8 	8.6 	8.8 	7.9 	7.1 	6.8 
T	ED0-2	PC	Y35-44	FR	23.3 	23.0 	21.8 	20.6 	18.9 b	16.9 b	15.9 	15.8 	15.9 	15.3 	14.4 	14.2 
T	ED0-2	PC	Y35-44	HR	20.3 	20.7 b	19.2 	16.7 	16.1 	12.7 b	12.7 	12.6 	11.8 	10.1 	8.4 	8.2 
T	ED0-2	PC	Y35-44	HU	16.9 	16.7 	16.7 	16.1 	15.1 	14.4 b	13.5 	13.5 	13.8 	13.8 	13.7 	12.2 
T	ED0-2	PC	Y35-44	IE	22.8 	20.8 	19.7 	19.4 	17.0 	13.3 b	12.7 	12.5 	11.3 b	11.2 	10.2 	8.6 
T	ED0-2	PC	Y35-44	IS	29.4 	28.2 	25.2 	24.6 	21.6 	22.1 b	19.9 	18.7 	20.2 	18.2 	17.2 	17.5 b
T	ED0-2	PC	Y35-44	IT	42.1 	40.7 	39.7 	37.9 	36.6 	35.3 b	34.4 	34.3 	33.3 	32.5 	31.7 	31.2 
T	ED0-2	PC	Y35-44	LT	5.4 	5.6 	6.0 	6.3 	7.2 	9.1 b	9.7 	8.6 	9.2 	9.0 	7.4 	7.2 
T	ED0-2	PC	Y35-44	LU	21.2 b	19.5 	22.0 	19.6 	17.9 	13.6 b	20.4 b	16.5 u	18.6 u	17.0 	14.9 	16.2 
T	ED0-2	PC	Y35-44	LV	8.3 	8.6 	10.5 	11.2 	12.8 	12.5 b	12.5 	12.2 	13.8 	13.8 	13.2 	13.1 
T	ED0-2	PC	Y35-44	ME	: 	: 	14.3 	13.9 	15.1 	12.8 b	12.6 	13.6 	13.5 	13.4 	11.6 	13.0 
T	ED0-2	PC	Y35-44	MK	38.7 	38.5 	37.5 	36.8 	38.2 	37.6 b	36.0 	31.8 	29.5 	28.3 	27.6 	25.5 
T	ED0-2	PC	Y35-44	MT	62.2 	61.3 	58.5 b	55.0 	53.7 	48.2 b	47.7 	46.9 	45.1 	40.4 	36.7 	38.0 
T	ED0-2	PC	Y35-44	NL	24.4 	22.7 	22.7 b	21.8 	19.3 b	19.8 b	18.5 	18.5 	16.8 	15.6 	15.7 b	14.8 
T	ED0-2	PC	Y35-44	NO	17.1 	16.6 	16.1 	14.4 	14.0 	13.4 b	13.6 	14.5 	14.2 	14.4 	14.7 	14.5 
T	ED0-2	PC	Y35-44	PL	8.5 	8.3 b	8.2 	7.6 	7.1 	7.0 b	6.8 	6.6 	5.7 	5.4 	5.4 	4.7 
T	ED0-2	PC	Y35-44	PT	68.5 	66.1 	61.3 b	56.6 	52.7 	47.7 b	44.7 	42.6 	41.4 	39.4 	36.9 	35.6 
T	ED0-2	PC	Y35-44	RO	15.7 	17.2 b	17.5 	18.1 	19.3 	23.2 b	22.7 	21.9 	21.0 	20.9 	20.5 	19.4 
T	ED0-2	PC	Y35-44	RS	: 	19.7 	19.8 	18.1 	18.5 	16.1 b	16.2 	16.2 	16.4 	16.0 	15.8 	14.6 
T	ED0-2	PC	Y35-44	SE	13.4 	13.0 	13.2 	12.6 	12.0 	12.6 b	13.1 	12.7 	12.9 	13.2 b	14.2 	13.7 
T	ED0-2	PC	Y35-44	SI	15.0 	14.4 	12.7 	11.3 	10.0 	9.3 b	8.7 	7.4 	6.8 	6.8 	6.9 	6.4 
T	ED0-2	PC	Y35-44	SK	5.8 	5.9 	5.9 b	5.5 	5.7 	5.8 b	6.0 	5.6 	6.6 	7.1 	7.5 	6.5 
T	ED0-2	PC	Y35-44	TR	74.3 	73.6 	72.1 	70.0 	68.1 	66.9 b	65.1 	63.0 	61.2 	59.7 	57.8 	55.9 
T	ED0-2	PC	Y35-44	UK	24.1 	22.3 b	21.2 b	19.4 	18.4 	17.6 b	17.0 	16.5 	16.0 	15.0 	14.5 	: 
T	ED0-2	PC	Y45-54	AT	19.7 	18.5 	18.2 	17.4 	17.5 	16.6 b	15.7 	16.5 	15.8 	14.8 	15.1 	14.8 
T	ED0-2	PC	Y45-54	BE	33.4 	33.8 	32.0 	31.1 	29.2 	27.6 b	26.2 	25.0 	23.4 b	21.2 	21.2 	19.9 
T	ED0-2	PC	Y45-54	BG	19.2 	18.1 b	17.7 b	17.1 	16.5 	17.4 b	16.7 	16.2 	15.6 	16.0 	16.3 	16.4 
T	ED0-2	PC	Y45-54	CH	13.9 	15.2 b	16.0 	14.7 	14.3 	13.4 b	13.2 	13.8 	13.2 	12.8 	12.4 	12.1 
T	ED0-2	PC	Y45-54	CY	31.1 b	27.3 	25.5 	22.9 	21.8 	23.0 b	22.8 	21.9 	18.9 	18.4 	17.2 	15.9 
T	ED0-2	PC	Y45-54	CZ	9.5 	8.4 	7.4 b	6.7 	6.0 	5.9 b	5.3 	5.4 	5.4 	4.6 	4.7 	4.8 
T	ED0-2	PC	Y45-54	DE	14.1 	13.2 b	12.7 	12.5 	12.6 	12.6 b	12.7 	12.8 	12.9 	12.9 	13.1 	14.8 bp
T	ED0-2	PC	Y45-54	DK	29.3 	26.3 	23.8 	22.5 	21.3 	19.6 b	19.1 	18.7 b	17.9 b	16.8 	16.4 	15.9 
T	ED0-2	PC	Y45-54	EA19	34.1 	33.2 	32.3 	31.5 	30.4 	29.5 b	28.9 	28.2 	27.7 	26.9 	26.2 	25.8 
T	ED0-2	PC	Y45-54	EE	7.2 	6.2 	6.1 	5.5 	5.9 	7.7 b	6.7 	6.3 	7.9 	7.9 	7.9 	8.3 
T	ED0-2	PC	Y45-54	EL	43.2 b	41.2 	38.4 	38.3 	37.5 	35.3 b	32.7 	30.6 	29.9 	28.2 	23.7 	21.6 
T	ED0-2	PC	Y45-54	ES	54.3 	52.9 	50.6 	49.1 	48.3 	47.0 b	45.8 	44.1 	43.0 	41.5 	39.8 	38.6 
T	ED0-2	PC	Y45-54	EU27_2020	30.2 	29.5 	28.6 	27.9 	27.0 	26.3 b	25.7 	25.0 	24.5 	23.7 	23.1 	22.6 
T	ED0-2	PC	Y45-54	EU28	29.9 	29.0 	28.3 	27.6 	26.7 	26.0 b	25.4 	24.8 	24.3 	23.6 	22.9 	: 
T	ED0-2	PC	Y45-54	FI	16.4 	15.4 	14.1 	13.1 	11.7 	11.0 b	10.3 	10.9 	11.0 	10.1 	9.0 	8.3 
T	ED0-2	PC	Y45-54	FR	34.7 	33.3 	32.4 	31.5 	27.6 b	25.7 b	24.7 	23.2 	22.8 	21.4 	19.9 	18.9 
T	ED0-2	PC	Y45-54	HR	25.1 	25.9 b	24.6 	21.8 	21.0 	20.6 b	20.1 	20.8 	19.1 	17.6 	17.1 	16.7 
T	ED0-2	PC	Y45-54	HU	20.2 	19.7 	19.6 	17.9 	18.3 	17.4 b	17.6 	17.0 	15.9 	14.4 	14.7 	15.1 
T	ED0-2	PC	Y45-54	IE	35.3 	32.8 	31.1 	29.8 	26.9 	24.2 b	23.5 	22.9 	20.8 b	19.5 	19.0 	15.9 
T	ED0-2	PC	Y45-54	IS	36.2 	35.6 	31.2 	29.0 	28.3 	26.6 b	24.2 	20.5 	22.4 	21.8 	21.3 	21.4 b
T	ED0-2	PC	Y45-54	IT	49.6 	48.8 	48.1 	47.2 	46.9 	46.0 b	45.7 	45.1 	44.6 	43.2 	42.3 	41.4 
T	ED0-2	PC	Y45-54	LT	4.0 	3.4 	3.0 	2.6 	3.1 	3.0 b	3.0 	2.7 	2.9 	3.4 	3.8 	3.4 
T	ED0-2	PC	Y45-54	LU	25.6 b	25.3 	24.8 	24.3 	21.2 	20.7 b	29.6 b	26.9 u	29.4 u	26.2 	24.7 	26.5 
T	ED0-2	PC	Y45-54	LV	7.6 	6.4 	6.6 	5.7 	5.2 	5.3 b	5.3 	5.1 	5.0 	6.4 	6.7 	6.6 
T	ED0-2	PC	Y45-54	ME	: 	: 	18.6 	15.2 	15.5 	13.6 b	13.4 	14.8 	15.3 	14.8 	13.6 	14.0 
T	ED0-2	PC	Y45-54	MK	40.3 	38.8 	37.9 	35.6 	34.8 	36.4 b	36.9 	35.9 	35.2 	36.4 	34.5 	33.2 
T	ED0-2	PC	Y45-54	MT	76.4 	73.2 	72.9 b	70.5 	66.1 	63.9 b	62.5 	58.5 	52.7 	50.3 	49.6 	44.9 
T	ED0-2	PC	Y45-54	NL	30.5 	29.6 	29.2 b	28.6 	26.5 b	25.9 b	25.4 	24.1 	22.6 	22.8 	21.8 b	19.9 
T	ED0-2	PC	Y45-54	NO	23.2 	22.0 	22.9 	21.3 	20.5 	20.0 b	18.8 	18.0 	17.9 	16.9 	15.1 	14.7 
T	ED0-2	PC	Y45-54	PL	12.0 	11.2 b	10.5 	9.7 	9.5 	9.2 b	9.2 	8.3 	7.6 	7.8 	7.9 	6.9 
T	ED0-2	PC	Y45-54	PT	77.9 	77.5 	75.6 b	72.6 	70.3 	65.8 b	64.2 	62.7 	59.7 	57.2 	55.1 	51.2 
T	ED0-2	PC	Y45-54	RO	23.7 	24.3 b	22.6 	20.6 	19.3 	22.8 b	18.9 	17.2 	16.7 	16.4 	16.5 	16.2 
T	ED0-2	PC	Y45-54	RS	: 	24.9 	23.4 	22.8 	21.7 	20.6 b	20.2 	20.5 	20.5 	19.7 	19.7 	18.7 
T	ED0-2	PC	Y45-54	SE	20.4 	19.4 	18.4 	17.4 	16.6 	15.1 b	14.0 	13.7 	13.5 	13.4 b	12.4 	11.9 
T	ED0-2	PC	Y45-54	SI	20.4 	19.2 	16.9 	17.3 	16.7 	15.9 b	14.8 	15.4 	13.9 	13.4 	13.6 	11.1 
T	ED0-2	PC	Y45-54	SK	10.1 	9.4 	8.4 b	8.3 	7.2 	8.3 b	7.7 	7.7 	8.0 	6.8 	6.6 	6.4 
T	ED0-2	PC	Y45-54	TR	78.1 	78.5 	78.2 	77.5 	77.4 	77.9 b	77.4 	76.7 	76.1 	75.5 	74.1 	71.8 
T	ED0-2	PC	Y45-54	UK	27.5 	25.8 b	25.6 b	25.2 	24.7 	23.8 b	23.5 	23.8 	22.9 	22.6 	21.9 	: 
T	ED0-2	PC	Y55-64	AT	28.6 	27.2 	27.7 	26.5 	26.5 	24.8 b	23.3 	21.4 	20.6 	20.5 	19.6 	19.1 
T	ED0-2	PC	Y55-64	BE	46.3 	45.5 	44.5 	43.7 	42.1 	41.3 b	39.3 	39.0 	35.8 b	34.2 	32.8 	31.1 
T	ED0-2	PC	Y55-64	BG	31.5 	29.2 b	27.2 b	25.2 	23.6 	24.3 b	21.8 	20.3 	19.3 	19.6 	18.8 	17.7 
T	ED0-2	PC	Y55-64	CH	17.5 	19.6 b	19.8 	18.8 	17.7 	16.5 b	16.6 	16.3 	16.3 	15.8 	14.6 	14.0 
T	ED0-2	PC	Y55-64	CY	51.2 b	47.7 	47.7 	43.6 	40.9 	41.6 b	39.6 	35.9 	34.3 	31.9 	31.2 	28.3 
T	ED0-2	PC	Y55-64	CZ	14.1 	13.7 	13.4 b	13.0 	12.8 	12.4 b	12.3 	10.4 	9.6 	9.0 	8.6 	7.2 
T	ED0-2	PC	Y55-64	DE	17.3 	16.5 b	15.5 	15.3 	14.9 	14.2 b	14.0 	14.2 	13.9 	13.6 	13.4 	14.7 bp
T	ED0-2	PC	Y55-64	DK	32.2 	32.3 	30.7 	29.8 	30.1 	28.9 b	28.2 	27.1 b	25.7 b	25.5 	24.5 	24.5 
T	ED0-2	PC	Y55-64	EA19	44.8 	43.6 	41.9 	40.5 	38.8 	37.5 b	36.3 	35.5 	34.4 	33.5 	32.6 	31.6 
T	ED0-2	PC	Y55-64	EE	16.9 	15.1 	13.2 	11.6 	9.8 	13.1 b	13.0 	11.7 	11.2 	10.2 	7.9 	7.3 
T	ED0-2	PC	Y55-64	EL	60.7 b	58.4 	55.3 	53.5 	51.6 	50.2 b	48.2 	46.0 	44.2 	44.8 	40.1 	37.3 
T	ED0-2	PC	Y55-64	ES	70.1 	68.1 	66.4 	64.9 	62.6 	61.4 b	59.1 	57.3 	55.6 	54.1 	52.3 	49.8 
T	ED0-2	PC	Y55-64	EU27_2020	40.6 	39.3 	37.8 	36.4 	34.8 	33.8 b	32.6 	31.7 	30.6 	29.8 	29.0 	28.1 
T	ED0-2	PC	Y55-64	EU28	39.7 	38.4 	37.0 	35.6 	34.1 	33.1 b	32.0 	31.2 	30.1 	29.5 	28.6 	: 
T	ED0-2	PC	Y55-64	FI	32.5 	30.4 	28.7 	26.0 	24.5 	22.8 b	19.8 	18.3 	17.1 	15.7 	14.6 	13.1 
T	ED0-2	PC	Y55-64	FR	45.4 	44.4 	42.4 	41.0 	38.5 b	36.5 b	35.3 	34.8 	33.3 	32.2 	30.5 	28.3 
T	ED0-2	PC	Y55-64	HR	35.1 	33.9 b	33.1 	30.5 	29.4 	30.2 b	28.7 	28.5 	27.0 	25.2 	25.5 	23.5 
